date,topic,variant,shape,gpu,env,tileops_ref,tilelang_ref,script,status,data_file,notes
2026-04-15,gqa_milestones_prefill,pr871_base+pr871_reorder+anchor_causal+fa3,production_prefill,GPU1,env_tilelang_20260119,/tmp/tileops-pr871-base;/tmp/tileops-pr871-reorder;anchor_script;fa3,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/bench_gqa_milestones.py,ok,experiments/ws_kernel_evolution/data/20260415_gqa_milestones_prefill_gpu1_merged.json,serial run on CUDA_VISIBLE_DEVICES=1 with TILELANG_CLEANUP_TEMP_FILES=1 and V2P_NUM_SMS=132; anchor unsupported for llama8b-1k because total_pairs<NUM_SMS
2026-04-15,gqa_milestones_prefill,pre_pr871_wgmma,production_prefill,GPU1,env_tilelang_20260119,/home/ga/TileOPs,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/bench_gqa_milestones.py,ok,experiments/ws_kernel_evolution/data/20260415_gqa_pre_pr871_wgmma_gpu1.json,serial run on CUDA_VISIBLE_DEVICES=1 with TILELANG_CLEANUP_TEMP_FILES=1; pre-WS Hopper baseline pinned to GqaFwdWgmmaPipelinedKernel
2026-04-15,timeline_probes,pre_pr871,B=4 S=4096 H=64 Hkv=8 D=128 causal,GPU1,env_tilelang_20260119,/home/ga/TileOPs,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/run_timeline_probes.py,ok,experiments/ws_kernel_evolution/data/20260415_timeline_probes_pre_pr871.json,serial run on CUDA_VISIBLE_DEVICES=1; coarse pre-WS timing only because fine-grained in-loop WGMMA timing currently crashes WgmmaSyncRewriter
2026-04-15,ncu_tensor_pipe_profile,pre_pr871_wgmma+pr871_base+pr871_reorder+anchor_causal,B=4 S=4096 H=64 Hkv=8 D=128 causal,GPU1,env_tilelang_20260119,/home/ga/TileOPs;/tmp/tileops-pr871-base;/tmp/tileops-pr871-reorder,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/profile_tensor_pipe_milestones.py,ok,experiments/ws_kernel_evolution/data/20260415_ncu_tensor_pipe_milestones_4k.json,serial run with NCU using TMPDIR/HOME under .tmp/ncu and cudaProfilerStart/Stop; useful metric is sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed
2026-04-15,timeline_probes,ws_current_bn176,B=4 S=4096 H=64 Hkv=8 D=128 non-causal,GPU1,env_tilelang_20260119,/home/ga/TileOPs,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/run_timeline_probes.py,ok,experiments/ws_kernel_evolution/data/20260415_timeline_probes_ws_current_bn176.json,serial run on CUDA_VISIBLE_DEVICES=1 with TILELANG_CLEANUP_TEMP_FILES=1 and V2P_NUM_SMS=132; parsed steady-state regions and split-barrier summary from existing bn176 probes
2026-04-15,timeline_probes,pr871_base,B=4 S=4096 H=64 Hkv=8 D=128 causal,GPU1,env_tilelang_20260119,/tmp/tileops-pr871-base,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/run_timeline_probes.py,ok,experiments/ws_kernel_evolution/data/20260415_timeline_probes_pr871_base.json,serial run on CUDA_VISIBLE_DEVICES=1 with TILELANG_CLEANUP_TEMP_FILES=1 and V2P_NUM_SMS=132; includes steady-state regions plus front-end split tail split and new detailed core split
2026-04-15,timeline_probes,pr871_reorder,B=4 S=4096 H=64 Hkv=8 D=128 causal,GPU1,env_tilelang_20260119,/tmp/tileops-pr871-reorder,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/run_timeline_probes.py,ok,experiments/ws_kernel_evolution/data/20260415_timeline_probes_pr871_reorder.json,serial run on CUDA_VISIBLE_DEVICES=1 with TILELANG_CLEANUP_TEMP_FILES=1 and V2P_NUM_SMS=132; includes steady-state regions plus front-end split tail split and new detailed core split
2026-04-15,timeline_probes,anchor_causal,B=4 S=4096 H=64 Hkv=8 D=128 causal,GPU1,env_tilelang_20260119,/home/ga/TileOPs,5f70374c48bb1d52e9260e995bf7adbcd64341e5,experiments/ws_kernel_evolution/scripts/run_timeline_probes.py,ok,experiments/ws_kernel_evolution/data/20260415_timeline_probes_anchor_causal.json,serial run on CUDA_VISIBLE_DEVICES=1 with TILELANG_CLEANUP_TEMP_FILES=1 and V2P_NUM_SMS=132; includes steady-state anchor probe plus scheduler split detailed core split and updated tail split with v_empty delayed_rescale and acc_s cast copy
